Marko Pusa;FI
Marshall James;GB
Martin Adams;GB
Martin Atkins;GB
Martin McCloskey;IE
Martin Phillips;GB
Matt Clark;GB
Matt Padgett;GB
Matthew Dicken;GB
Matthew Edgar;GB
Max Hopp;DE
Mensur Suljovic;AT
Mervyn King;GB
Michael Barnard;GB
Michael Mansell;GB
Michael Rosenauer;DE
Michael Smith;GB
Michael van Gerwen;NL
Michel van der Horst;NL
Mick McGowan;IE
Mieke de Boer;NL
Mike Gregory;GB
Mike Veitch;GB
Miloslav Navrátil;CZ
Mitchell Clegg;AU
Morihiro Hashimoto;JP
Nándor Bezzeg;HU
Nick Fullwell;GB
Nick Gedney;GB
Nicky Virachkul;US
Niels de Ruiter;NL
Nigel Heydon;GB
Norman Madhoo;GY
Oliver Ferenc;RS
Osmann Kijamet;SI
Owen Thomas;GB
Oyvind Aasland;NO
Pat Orreal;AU
Paul Barham;GB
Paul Carter;GB
Paul Gosling;GB
Paul Hanvidge;GB
Paul Hogan;GB
Paul Jennings;GB
Paul Lim;SG
Paul Nicholson;AU
Per Laursen;DK
Per Skau;DK
Peter Evison;GB
Peter Hunt;NZ
Peter Locke;GB
Peter Manley;GB
Peter Masson;GB
Peter McDonald;GB
Peter Wright;GB
Petri Korte;FI
Phil Gilman;GB
Phil Taylor;GB
Phill Nixon;GB
Phillip Hazel;NZ
Preston Ridd;NZ
Rab Scott;GB
Rab Smith;GB
Ray Carver;US
Ray Farrell;GB
Ray Kippari;CA
Raymond van Barneveld;NL
Reece Robinson;GB
Remco van Eijden;NL
Rhian Edwards;GB
Richard Herbert;GB
Richard van Zijtveld;NL
Richie Burnett;GB
Richie Gardner;GB
Richie George;GB
Rick Hofstra;NL
Rick Ney;US
Rico Vonck;NL
Rilana Erades;NL
Ritchie Davies;GB
Rizal Barellano;PH
Robbie Green;GB
Robert Hughes;GB
Robert MacKenzie;GB
Robert Thornton;GB
Robert Wagner;NO
Rod Harrington;GB
Roger Carter;US
Roland Scholten;NL
Roman Konchikov;RU
Ron Meulenkamp;NL
Ronnie Baxter;GB
Ronnie Davies;GB
Ronnie Sharp;GB
Ronny Huybrechts;BE
Ross Montgomery;GB
Ross Smith;GB
Russell Stewart;AU
Scott Burnett;US
Scott MacKenzie;HK
Scott Mitchell;GB
Scott Rand;GB
Scott Waites;GB
Sean Palfrey;GB
Sean Reed;AU
Shane O'Connor;IE
Shane Tichowitsch;AU
Sharon Prins;NL
Shaun Greatbatch;GB
Shaun Griffiths;GB
Shayne Burgess;GB
Simon Whatley;GB
Simon Whitlock;AU
Stacy Bromberg;US
Stefan Eeckelaert;BE
Stefan Lord;SE
Stefan Nagy;SE
Stephen Bunting;GB
Stephen Roberts;GB
Steve Alker;GB
Steve Beaton;GB
Steve Brennan;GB
Steve Brown;US
Steve Brown;GB
Steve Coote;GB
Steve Douglas;GB
Steve Evans;GB
Steve Farmer;GB
Steve Gittins;GB
Steve Grubb;GB
Steve Hine;GB
Steve Maish;GB
Steve West;GB
Stuart Holden;GB
Stuart Kellett;GB
Sudesh Fitzgerald;GY
Tamara Schuur;NL
Tapani Uitos;FI
Ted Hankey;GB
Terry Jenkins;GB
Terry O'Dea;AU
Tim Brown;AU
Tom Kirby;IE
Tomas Seyler;DE
Tony Ayres;GB
Tony Brown;GB
Tony Clark;GB
Tony David;AU
Tony Eccles;GB
Tony Holyoake;CA
Tony Martin;GB
Tony O'Shea;GB
Tony Payne;US
Tony Ridler;GB
Tony Skuse;GB
Tony Sontag;GB
Tony West;GB
Toon Greebe;NL
Trevor Nurse;GB
Tricia Wright;GB
Trina Gulliver;GB
Troels Rusel;DK
Ulf Ceder;FI
Vic Hubbard;GB
Vincent van der Voort;NL
Vladimir Andersen;DK
Warren French;NZ
Warren Parry;NZ
Wayne Atwood;GB
Wayne Jones;GB
Wayne Lock;GB
Wayne Mardle;GB
Wayne Warren;GB
Wayne Weening;AU
Wes Newton;GB
Wesley Harms;NL
William O'Connor;IE
Willy Logie;BE
Willy van de Wiel;NL
Wynand Havenga;ZA
