Paavo Aaltonen;FI
Veikko Huhtanen;FI
Heikki Savolainen;FI
Valery Belenky[note 34];DE
Philipp Boy;DE
Roland Brückner[note 35];DE
Konrad Frey[note 36];DE
Eberhard Gienger;DE
Fabian Hambüchen;DE
Sylvio Kroll[note 37];DE
Marcel Nguyen;DE
Sven Tippelt[note 38];DE
Andreas Wecker;DE
Vlasios Maras;GR
Szilveszter Csollány;HU
Zoltán Supola;HU
Alberto Braglia;IT
Igor Cassina;IT
Yuri Chechi;IT
Franco Menichelli;IT
Romeo Neri;IT
Giorgio Zampori;IT
Takehiro Kashima;JP
Sawao Kato;JP
Ryohei Kato;JP
Hisashi Mizutori;JP
Akinori Nakayama;JP
Takashi Ono;JP
Masao Takemoto;JP
Yusuke Tanaka;JP
Mitsuo Tsukahara;JP
Naoya Tsukahara;JP
Hiroyuki Tomita;JP
;
Isao Yoneda;JP
Evgeni Sapronenko;LV
Igors Vihrovs;LV
Daniel Corral;MX
Yuri van Gelder;NL
Jeffrey Wammes;NL
Epke Zonderland;NL
Pae Gil Su;KP
;
Ioan Silviu Suciu;RO
Denis Ablyazin;RU
Nikolai Andrianov[note 40];RU
David Belyavskiy;RU
Dmitry Bilozerchev[note 41];RU
Alexei Bondarenko;RU
Emin Garibov;RU
Anton Golotsutskov;RU
Yuri Korolev[note 42];RU
Nikolai Kryukov;RU
Nikolai Kuksenkov;RU
Alexei Nemov;RU
Valeri Liukin[note 43];RU
Yuri Ryazanov;RU
Boris Shakhlin[note 44];RU
Yuri Titov[note 46];RU
Alexander Tkachyov[note 47];RU
Mikhail Voronin[note 49];RU
Miro Cerar;SI
Kim Dae-Eun;KR
Yang Hak-Seon;KR
Yang Tae-Young;KR
Joaquín Blume;ES
Gervasio Deferr;ES
Rafael Martinez;ES
Eugen Mack;CH
Alexander Beresch[note 53];UA
Valeri Goncharov;UA
Igor Radivilov;UA
Oleg Stepko;UA
Oleg Verniaiev;UA
Daniel Keatings;GB
Sam Oldham;GB
Daniel Purvis;GB
Louis Smith;GB
Max Whitlock;GB
Alexander Artemev;US
Raj Bhavsar;US
Bart Conner;US
Tim Daggett;US
Jacob Dalton;US
George Eyser[note 54];US
Mitch Gaylord;US
Morgan Hamm;US
Paul Hamm;US
Anton Heida[note 55];US
Johnathan Horton;US
Danell Leyva;US
Sam Mikulak;US
John Orozco;US
Justin Spring;US
Kevin Tan;US
Kurt Thomas;US
Peter Vidmar;US
Blaine Wilson;US
Nikolai Andrianov[note 40];RU
Albert Azaryan[note 28];RU
Valery Belenky[note 34];RU
Dmitry Bilozerchev[note 41];RU
Viktor Chukarin;RU
Alexander Dityatin;RU
Yuri Korolev[note 42];RU
Valeri Liukin[note 43];RU
Boris Shakhlin[note 44];RU
Yuri Titov[note 46];RU
Alexander Tkachyov[note 47];RU
Mikhail Voronin[note 49];RU
Penelope Blackmore;AU
Naazmi Johnston;AU
Kimberly Mason;AU
