PK,lat1,lon1,lat2,lon2
176555748012,3049.766667,361.15,3049.65,355.083333
176550306039,2072.633333,3675.366667,2045.333333,3699.116667
176548135014,3022.45,5.416667,3012.266667,15.883333
176557167005,2881.283333,993.566667,2878.1,993.2
176551676001,3532.6,338.266667,3533.433333,334.383333
176543499007,2189.966667,1526.083333,2192.15,1525.116667
176529769003,2095.783333,8209.033333,2097.4,8209.283333
176537139021,2492.683333,209.316667,2496.333333,231.616667
176550029008,2336.65,-531.633333,2341.6,-519.133333
176549478034,3128.5,1259.283333,3129.466667,1258.45
176551401004,3207.183333,-56.316667,3205.316667,-50.8
176556526023,3058.383333,964.033333,3071.15,1016.066667
176537468010,2142.933333,1500.616667,2143.95,1500.133333
176549656054,3110.433333,168.2,3108.566667,160.016667
176541727023,3114.316667,85.55,3119.483333,100.916667
176537244022,3122.816667,223.7,3120.783333,214.516667
176534792034,2847.55,684.083333,2857.333333,683.983333
176528985069,3074.166667,219.45,3079.9,221.816667
176555738031,2636.666667,541.5,2653.2,543.45
176537615048,2873.816667,921.333333,2871.95,933.916667
176541506005,3051.466667,419.883333,3051.266667,416.416667
176554445063,3055.433333,22.833333,3056.733333,15.7
176541450019,3339.066667,1202.233333,3348.616667,1145.466667
176544084036,2324.2333330000001,1832.8,2343.85,1881.016667
176556008033,2931.483333,1127.966667,2954,1178.366667
176538724062,3265.5,-154.483333,3270,-157.633333
176540652046,2581.9,1428.566667,2571,1451.066667
176531092030,2285.55,1904.583333,2282.783333,1928.833333
176546846020,2524.283333,528.483333,2535.066667,529.7
176557080001,2901.233333,707.166667,2900.966667,705.383333
176535284029,2277.516667,1316.333333,2273.916667,1325.5
176553664063,1519.7,3281.216667,1518.583333,3290.716667
176555977012,3198.483333,-40.933333,3195.25,-23.966667
176555216004,2222.333333,1852.25,2224.416667,1853.416667
176550315016,2757.616667,1359.2833330000001,2789.616667,1276.033333
176543975013,3497.566667,439.816667,3493.95,450
176554667042,2970.85,145.283333,2973.166667,149.366667
176545754053,2914.85,712.083333,2914.216667,695.85
176537544063,3087.45,323.15,3087.233333,322.966667
176557537037,3099.75,800.466667,3107.683333,789.066667
176550595030,2940.4,164.25,2940.583333,152.866667
176553860010,2066.9,2062.9,2060.183333,2074.95
176558179001,1920.566667,2092.966667,1920.616667,2092.3
176551092023,2311.1,1140,2298.833333,1215.216667
176548476036,2819.466667,834.333333,2803.5,861.083333
176552652028,2623,782.066667,2618.016667,779.05
176536129014,3119.783333,-63.216667,3110.85,-60.316667
176550999016,3572.933333,-81.983333,3573.983333,-81.75
176556507033,3148.2,816.216667,3146.816667,814.9
176550444019,3867.75,846.833333,3975.45,923.7
176551129003,2881.116667,987.15,2878.933333,984.333333
176532722017,2295.1,1554.35,2264.883333,1568.066667
176547933002,2737.8,522.6,2737.783333,521.016667
176539619028,2449.583333,-153.633333,2446.066667,-158.933333
176541451041,2563.483333,1324.666667,2634.483333,1227.85
176543383041,3143.633333,-115.733333,3144.116667,-114.283333
176553148004,2464.783333,1728.316667,2465.266667,1731.8
176558071024,3220.133333,-307.883333,3220.416667,-317.1
176536291067,2618.15,437.2,2619.916667,432.9
176542620006,3082.616667,-24.266667,3079.166667,-22.316667
176532521024,3038.833333,1215.066667,3036.383333,1209.766667
176549688002,2200.133333,-269.516667,2198.7,-267.75
176555950006,3630.683333,1344.433333,3630.566667,1348.8
176537435007,3335.75,-285.716667,3331.983333,-280.383333
176541106023,2919.15,120.483333,2920.5,121.9
176541147006,1720.433333,-1060.216667,1722.433333,-1056.633333
176554853034,1830.5,-742.5,1806.25,-763.033333
176554620035,2150,-194.15,2118.316667,-224.033333
176544786063,2207.35,1842.616667,2209.266667,1844.033333
176545947041,2876.05,729.266667,2864,741.466667
176537177010,3105.75,-11.083333,3105.45,-9.216667
176538982045,3115,164.35,3114.916667,160.016667
176532171020,2301.85,-116.166667,2323.616667,-80.533333
176556882007,3354.316667,-210.15,3352.2,-209.366667
176548193005,2219.583333,200.25,2235.483333,206.8
176530206009,2960.15,752.483333,2974.083333,756.866667
176555150001,1736.733333,-816.316667,1737.85,-814.783333
176549305036,3436.566667,718.683333,3441.966667,718.666667
176545184043,2208.666667,205.633333,2206.216667,201.2
176555144018,2821.316667,206.433333,2802.4,217.9
176548109006,2627.683333,257.283333,2631.433333,264.383333
176544316038,3026.183333,199.533333,3032.75,209.816667
176542841045,2201.266667,-271.733333,2200.75,-270.55
176534165011,3076.333333,37.466667,3066.783333,45.666667
176539652035,3119.383333,3.716667,3125.05,4.033333
176541074030,2578.366667,1367.85,2560.033333,1428.833333
176543527007,3331.15,-279.183333,3327.383333,-273.85
176549338015,1729.783333,-831.266667,1731.566667,-827.483333
176550103011,3087.083333,38.516667,3096.616667,42.433333
176545477012,2896.866667,157.566667,2885,166.666667
176539900027,2114.15,1487.316667,2116.9,1482.233333
176534262011,3479.2,934.183333,3458.783333,904.083333
176532786023,2778.15,352.783333,2748.5,383.45
176558028061,3309.183333,2149.783333,3312.45,2154.65
176535742040,3171.766667,683.833333,3177.083333,727.933333
